摄影师 /nn 2	  ，/w], [摄影师/nnt, 却/d, 
收藏家 /nn 2	  ，/w], [收藏家/nnd, 不会/v,
首脑 /nn 2	 警察/nnt, 首脑/nnt, 云集/v,
模特儿 /nn 2	 是/vshi, 模特儿/nnt, 出身/v,
商人 /nn 1	 大阪/nsf, 商人/nnt, 硬/a, 
间谍 /nn 1	 t, 前/f, 间谍/nnt, 手里/s,
警卫 /nn 1	 , 还有/v, 警卫/nnt, 的/ude
公司员工 /nn 1	 , 专为/d, 公司员工/nnd, 开发/vn
服务生 /nn 1	 , 男女/n, 服务生/nnd, 直到/v,
售票员 /nn 1	 说不定/vl, 售票员/nnd, 会/v, 
小说家 /nn 1	 侦探/nnd, 小说家/nnd, 艾德·麦可
助手 /nn 1	 s, 当/p, 助手/nnt, 。/w],
首席专家 /nn 1	 的/ude1, 首席专家/nnt, ——/w,
骑士 /nn 1	  中世纪/t, 骑士/nnd, 所/usu
专家 /nn 1	 的/ude1, 专家/nnt, 。/w],
策划者 /nn 1	 , 幕后/s, 策划者/nnd, 这个/rz
企业经营者 /nn 1	 w, 大/a, 企业经营者/nnt, 、/w, 
农家 /nn 1	 的/ude1, 农家/nnd, 里/f, 
参议员 /nn 1	 , 某/rz, 参议员/nnt, 的/ude
政治家 /nn 1	 n, 为/p, 政治家/nnt, 、/w, 
署长 /nn 1	 的/ude1, 署长/nnt, 自不必说/
组织者 /nn 1	 , 起/vf, 组织者/nnt, 的/ude
太后 /nn 1	 , 健/ag, 太后/nnd, ，/w],
造型师 /nn 1	 , 中年/n, 造型师/nnt, 不失时机/
班主任 /nn 1	 d, 给/p, 班主任/nnt, 打电话/v
会员 /nn 1	 的/ude1, 会员/nnt, 权/n, 
罪犯 /nn 1	 的/ude1, 罪犯/nnd, 。/w],
佣人 /nn 1	 v, 上/f, 佣人/nnd, ，/w],
工程师 /nn 1	 , 电脑/n, 工程师/nnt, ，/w],
写手 /nn 1	  了/ule, 写手/nnd, ，/w],
家庭教师 /nn 1	  了/ule, 家庭教师/nnt, ，/w],
棒球 /nn 1	 , 职业/n, 棒球/nnd, 之类/rz
女星 /nn 1	 莱坞/nsf, 女星/nnd, ，/w],
护士 /nn 1	 e, 个/q, 护士/nnt, 打扮/v,
家庭主妇 /nn 1	 q, 个/q, 家庭主妇/nnd, 拎着/v,
经理 /nn 1	 q, 女/b, 经理/nnt, ，/w],
责任编辑 /nn 1	  这个/rz, 责任编辑/nnt, 竟/d, 
诺贝尔奖 /nn 1	 , 荣获/v, 诺贝尔奖/nnd, 。/w],
成员 /nn 1	 小组/nis, 成员/nnt, 几乎/d,
右卫 /nn 1	  谷伊/nr, 右卫/nnd, 门/n, 
国王 /nn 1	 o, 《/w, 国王/nnt, 的/ude
厅长 /nn 1	 省公安厅/n, 厅长/nnt, ）/w, 
监事 /nn 1	 t, 、/w, 监事/nnt, ，/w],
